OWNERSHIP RENDER DIAGNOSTICS
owned=no                   => ownership algorithm did not assign the shape
owned=yes rendered=no      => renderer/source mapping problem
mode=compound-component    => this split component was rendered with its own ownership color
mode=neutral-layout        => staff/bar layout geometry intentionally remains black
mode=compound-dominant     => component rendering was impossible; one fallback color was chosen
color-match=no             => shape has ownership, but fallback compound source used another color

SUMMARY
Stroke        total= 626 owned= 625 rendered= 625 exact-color= 625
CurvedStroke  total=  39 owned=  37 rendered=  37 exact-color=  37
EllipseLike   total= 417 owned= 409 rendered= 409 exact-color= 409
ShapeInstance total= 271 owned= 217 rendered= 217 exact-color= 217

DETAILS
shape-1210   EllipseLike   owned=yes staff-5+staff-pair-3-measure-5         g1 rendered=yes; mode=direct; displayed=staff-5+staff-pair-3-measure-5; color-match=yes; source=<path>
shape-1211   EllipseLike   owned=yes staff-10+staff-pair-5-measure-2        g2 rendered=yes; mode=direct; displayed=staff-10+staff-pair-5-measure-2; color-match=yes; source=<path>
shape-1212   EllipseLike   owned=yes staff-6+staff-pair-3-measure-4         g1 rendered=yes; mode=direct; displayed=staff-6+staff-pair-3-measure-4; color-match=yes; source=<path>
shape-1213   EllipseLike   owned=yes staff-2+staff-pair-1-measure-2         g1 rendered=yes; mode=direct; displayed=staff-2+staff-pair-1-measure-2; color-match=yes; source=<path>
shape-1214   EllipseLike   owned=yes staff-10+staff-pair-5-measure-4        g1 rendered=yes; mode=direct; displayed=staff-10+staff-pair-5-measure-4; color-match=yes; source=<path>
shape-1215   EllipseLike   owned=yes staff-2+staff-pair-1-measure-2         g2 rendered=yes; mode=direct; displayed=staff-2+staff-pair-1-measure-2; color-match=yes; source=<path>
shape-1216   EllipseLike   owned=yes staff-2+staff-pair-1-measure-3         g1 rendered=yes; mode=direct; displayed=staff-2+staff-pair-1-measure-3; color-match=yes; source=<path>
shape-1217   EllipseLike   owned=yes staff-6+staff-pair-3-measure-3         g2 rendered=yes; mode=direct; displayed=staff-6+staff-pair-3-measure-3; color-match=yes; source=<path>
shape-1218   EllipseLike   owned=yes staff-8+staff-pair-4-measure-5         g2 rendered=yes; mode=direct; displayed=staff-8+staff-pair-4-measure-5; color-match=yes; source=<path>
shape-1219   EllipseLike   owned=yes staff-6+staff-pair-3-measure-3         g2 rendered=yes; mode=direct; displayed=staff-6+staff-pair-3-measure-3; color-match=yes; source=<path>
shape-1220   EllipseLike   owned=yes staff-4+staff-pair-2-measure-4         g2 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-4; color-match=yes; source=<path>
shape-1221   EllipseLike   owned=yes staff-10+staff-pair-5-measure-5        g2 rendered=yes; mode=direct; displayed=staff-10+staff-pair-5-measure-5; color-match=yes; source=<path>
shape-1222   EllipseLike   owned=yes staff-2+staff-pair-1-measure-3         g1 rendered=yes; mode=direct; displayed=staff-2+staff-pair-1-measure-3; color-match=yes; source=<path>
shape-1223   EllipseLike   owned=yes staff-6+staff-pair-3-measure-5         g1 rendered=yes; mode=direct; displayed=staff-6+staff-pair-3-measure-5; color-match=yes; source=<path>
shape-1224   EllipseLike   owned=yes staff-2+staff-pair-1-measure-3         g2 rendered=yes; mode=direct; displayed=staff-2+staff-pair-1-measure-3; color-match=yes; source=<path>
shape-1225   EllipseLike   owned=yes staff-2+staff-pair-1-measure-3         g2 rendered=yes; mode=direct; displayed=staff-2+staff-pair-1-measure-3; color-match=yes; source=<path>
shape-1226   EllipseLike   owned=yes staff-10+staff-pair-5-measure-5        g2 rendered=yes; mode=direct; displayed=staff-10+staff-pair-5-measure-5; color-match=yes; source=<path>
shape-1227   EllipseLike   owned=yes staff-6+staff-pair-3-measure-3         g2 rendered=yes; mode=direct; displayed=staff-6+staff-pair-3-measure-3; color-match=yes; source=<path>
shape-1228   EllipseLike   owned=yes staff-4+staff-pair-2-measure-2         g1 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-2; color-match=yes; source=<path>
shape-1229   EllipseLike   owned=yes staff-6+staff-pair-3-measure-6         g1 rendered=yes; mode=direct; displayed=staff-6+staff-pair-3-measure-6; color-match=yes; source=<path>
shape-51.14  EllipseLike   owned=no  rendered=no  source=<path>
shape-51.17  EllipseLike   owned=no  rendered=no  source=<path>
shape-51.8   EllipseLike   owned=no  rendered=no  source=<path>
shape-52.13  EllipseLike   owned=no  rendered=no  source=<path>
shape-52.2   EllipseLike   owned=no  rendered=no  source=<path>
shape-53.20  EllipseLike   owned=no  rendered=no  source=<path>
shape-53.5   EllipseLike   owned=no  rendered=no  source=<path>
shape-53.7   EllipseLike   owned=no  rendered=no  source=<path>
shape-670    EllipseLike   owned=yes staff-3+staff-pair-2-measure-3         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-3; color-match=yes; source=<path>
shape-671    EllipseLike   owned=yes staff-3+staff-pair-2-measure-5         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-5; color-match=yes; source=<path>
