shape-177    ShapeInstance g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-178    ShapeInstance g1 staff-3+staff-pair-2-measure-3 -> staff-3+staff-pair-2-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-179    ShapeInstance g1 staff-7+staff-pair-4-measure-1 -> staff-7+staff-pair-4-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-180    ShapeInstance g1 staff-7+staff-pair-4-measure-5 -> staff-7+staff-pair-4-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-181    ShapeInstance g1 staff-7+staff-pair-4-measure-5 -> staff-7+staff-pair-4-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-182    ShapeInstance g1 staff-3+staff-pair-2-measure-2 -> staff-3+staff-pair-2-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-183    ShapeInstance g1 staff-3+staff-pair-2-measure-3 -> staff-3+staff-pair-2-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-184    ShapeInstance g2 staff-5+staff-pair-3-measure-2 -> staff-5+staff-pair-3-measure-2 reason=Proximity; parent=shape-232; distance=3.827
shape-185    ShapeInstance g2 staff-5+staff-pair-3-measure-2 -> staff-5+staff-pair-3-measure-2 reason=Proximity; parent=shape-229; distance=0.000
shape-186    ShapeInstance g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-187    ShapeInstance g1 staff-3+staff-pair-2-measure-3 -> staff-3+staff-pair-2-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-188    ShapeInstance g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-189    ShapeInstance g1 staff-3+staff-pair-2-measure-2 -> staff-3+staff-pair-2-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-190    ShapeInstance g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-191    ShapeInstance g1 staff-3+staff-pair-2-measure-5 -> staff-3+staff-pair-2-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-192    ShapeInstance g1 staff-5+staff-pair-3-measure-4 -> staff-5+staff-pair-3-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-193    ShapeInstance g1 staff-1+staff-pair-1-measure-4 -> staff-1+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-194    ShapeInstance g2 staff-4+staff-pair-2-measure-5 -> staff-4+staff-pair-2-measure-5 reason=Proximity; parent=shape-434; distance=4.405
shape-195    ShapeInstance g2 staff-10+staff-pair-5-measure-3 -> staff-10+staff-pair-5-measure-3 reason=Proximity; parent=shape-399; distance=4.405
shape-196    ShapeInstance g2 staff-6+staff-pair-3-measure-5 -> staff-6+staff-pair-3-measure-5 reason=Proximity; parent=shape-457; distance=3.827
shape-197    ShapeInstance g2 staff-4+staff-pair-2-measure-3 -> staff-4+staff-pair-2-measure-3 reason=Proximity; parent=shape-427; distance=3.817
shape-198    ShapeInstance g2 staff-10+staff-pair-5-measure-4 -> staff-10+staff-pair-5-measure-4 reason=Proximity; parent=shape-416; distance=4.405
shape-199    ShapeInstance g1 staff-6+staff-pair-3-measure-4 -> staff-6+staff-pair-3-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-200    ShapeInstance g2 staff-2+staff-pair-1-measure-5 -> staff-2+staff-pair-1-measure-5 reason=Proximity; parent=shape-421; distance=4.405
shape-201    ShapeInstance g1 staff-10+staff-pair-5-measure-5 -> staff-10+staff-pair-5-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-202    ShapeInstance g2 staff-10+staff-pair-5-measure-5 -> staff-10+staff-pair-5-measure-5 reason=Proximity; parent=shape-419; distance=3.820
